1000,2.051
1100,2.78
1200,3.795
1300,4.68
1400,3.911
1500,4.216
1600,5.945
1700,7.866
1800,7.913
1900,6.624
2000,7.19
2100,8.81
2200,18.358
2300,13.132
2400,11.9
2500,10.331
2600,12.351
2700,23.487
2800,19.079
2900,23.954
3000,14.308
3100,16.874
3200,29.095
3300,27.928
3400,27.924
3500,20.296
3600,27.635
3700,34.441
3800,34.868
3900,34.452
4000,27.975
4100,34.852
4200,50.957
4300,41.902
4400,46.625
4500,38.52
4600,42.068
4700,69.241
4800,53.555
4900,47.12
5000,49.321
5100,52.833
5200,81.083
5300,65.813
5400,65.76
5500,64.16
5600,65.419
5700,98.013
5800,73.919
5900,73.976
6000,76.973
6100,81.458
6200,143.409
6300,87.367
6400,90.155
6500,93.227
6600,100.155
6700,177.538
6800,106.222
6900,110.153
7000,111.326
7100,113.281
7200,260.15
7300,124.06
7400,139.008
7500,136.267
7600,133.594
7700,287.533
7800,144.914
7900,157.116
8000,162.857
8100,156.368
8200,265.174
8300,167.283
8400,181.098
8500,177.12
8600,180.042
8700,253.552
8800,196.598
8900,218.38
9000,202.787
9100,206.444
9200,354.941
9300,246.284
9400,240.536
9500,228.712
9600,233.432
9700,325.507
9800,270.078
9900,281.457
10000,255.583
10100,259.291
10200,405.22
10300,280.209
10400,306.06
10500,285.488
10600,288.938
10700,364.418
10800,306.044
10900,320.419
11000,315.954
11100,320.878
11200,352.928
11300,340.793
11400,351.652
11500,349.206
11600,354.933
11700,510.216
11800,410.168
11900,524.484
12000,383.355
12100,394.778
12200,561.368
12300,467.071
12400,575.969
12500,419.774
12600,429.192
12700,582.729
12800,489.511
12900,534.974
13000,463.243
13100,513.201
13200,612.967
13300,500.706
13400,579.328
13500,503.06
13600,507.563
13700,607.015
13800,537.83
13900,663.623
14000,542.535
14100,551.845
14200,812.641
14300,579.298
14400,706.395
14500,586.226
14600,592.81
14700,909.331
14800,662.704
14900,701.98
15000,627.85
15100,639.717
15200,1098.54
15300,676.488
15400,748.232
15500,679.298
15600,695.648
15700,932.52
15800,864.576
15900,804.225
16000,723.176
16100,732.272
16200,1018.19
16300,773.544
16400,883.18
16500,773.191
16600,794.104
16700,1435.11
16800,820.795
16900,957.562
17000,828.545
17100,854.099
17200,1282.16
17300,868.307
17400,995.932
17500,881.252
17600,896.95
17700,1658.68
17800,954.884
17900,1017.87
18000,936.665
18100,1002.96
18200,1526.8
18300,1018.51
18400,1118.34
18500,985.155
18600,1068.07
18700,1315.72
18800,1092.87
18900,1162.48
19000,1046.67
19100,1063.81
19200,1567.85
19300,1162.26
19400,1274.77
19500,1109.9
19600,1119
19700,1872.67
19800,1493.47
19900,1326.77
20000,1170.88
20100,1224.18
20200,2202.05
20300,1608.94
20400,1307.91
20500,1235.28
20600,1261.64
20700,2462.01
20800,1432.83
20900,1481.05
21000,1300.39
21100,1370.85
21200,2677
21300,1730.58
21400,1560.47
21500,1375.68
21600,1392.94
21700,2847.24
21800,1610.4
21900,1659.3
22000,1431.65
22100,1499.8
22200,2924.02
22300,1587.6
22400,1652.13
22500,1500.67
22600,1517.14
22700,3003.34
22800,1854.56
22900,1692.53
23000,1569.4
23100,1591.4
23200,3271.81
23300,1799.22
23400,1776.42
23500,1664.7
23600,1721.98
23700,3400.42
23800,1834.1
23900,1808.58
24000,1895.94
24100,1767.48
24200,3472.92
24300,1883.53
24400,1946.46
24500,1808.36
24600,1850.74
24700,3665.7
24800,2309.66
24900,1987.64
25000,1877.69
25100,1911.82
25200,3918.21
25300,2278.28
25400,2101.91
25500,2173.86
25600,1990.79
25700,4076.78
25800,2278.96
25900,2139.29
26000,2146.8
26100,2061.18
26200,4276.54
26300,2396.42
26400,2278.02
26500,2133.57
26600,2147.58
26700,4399.34
26800,2461.65
26900,2352.6
27000,2217.78
27100,2229.74
27200,4628.61
27300,2566.51
27400,2463.45
27500,2297.5
27600,2339.46
27700,5042.12
27800,2551.22
27900,2510.49
28000,2430.97
28100,2456.96
28200,5049.76
28300,2946.53
28400,2657.05
28500,2491.42
28600,2551.32
28700,5374.16
28800,2787.52
28900,2767.2
29000,2570.95
29100,2622.69
29200,4521.96
29300,2838.52
29400,2804.72
29500,2686.18
29600,2730.91
29700,3831.7
29800,2880.34
29900,2994.89
30000,2776.23
30100,2850.4
30200,3129.09
30300,2996.59
30400,3053.01
30500,2870.91
30600,2923.74
30700,3672.26
30800,3132.27
30900,3188.45
31000,2973.25
31100,3055.12
31200,3576.71
31300,3235.48
31400,3312.38
31500,3077.39
31600,3073.44
31700,3557.34
31800,3311.4
31900,3742.94
32000,3155.6
32100,3175.59
32200,3426.77
32300,3464.65
32400,3477.47
32500,3267.36
32600,3388.18
32700,3465.85
32800,3544.61
32900,3681.7
33000,3355.52
33100,3402.59
33200,3492.02
33300,3664.91
33400,3942.22
33500,3479.15
33600,3495.23
33700,3632.45
33800,3836.78
33900,3901.44
34000,3564.99
34100,3745.01
34200,3792.81
34300,3939.28
34400,4026.23
34500,3689.48
34600,3753.76
34700,4405.69
34800,4099.09
34900,4085.74
35000,3820.95
35100,3884.67
35200,4173.6
35300,4224.76
35400,4097.8
35500,3908.53
35600,4056.21
35700,4395.07
35800,4595.94
35900,4218.09
36000,4020.61
36100,4061.37
36200,4412.96
36300,4501.35
36400,4342.77
36500,4158.34
36600,4181.68
36700,4594.5
36800,4792.24
36900,4504.5
37000,4275.19
37100,4375.24
37200,4592.4
37300,4734.32
37400,4605.71
37500,4383.48
37600,4489.3
37700,4677.33
37800,4868.74
37900,4725.29
38000,4528.3
